id;sifra_postupka;broj_partije;atc;inn;farmaceutski_oblik_lijeka;jacina_lijeka;jedinica_mjere;procijenjena_vrijednost;nn
1;17231;27313;Cape;Loan Saudi Borders;model leverage sensor;protocol Paraguay;Tools bluetooth system;74695;scalable frame Rubber
2;80632;41415;China;Minnesota productivity Soft;green Chair;system haptic;pink;81977;Account Chips
3;26615;46478;Tools Fresh;Integration action-items e-markets;hardware RAM Handmade;sticky withdrawal;fuchsia Balanced Associate;37840;markets
4;87785;20367;B2C;Factors;interface Unbranded Swaziland;Branding;Operations;56082;Israel Pakistan Won
5;90939;19037;auxiliary Unbranded;optimizing Manager;payment;modular Orchestrator Comoro;Dynamic Designer;95801;global
6;44604;4376;invoice copying Personal;Republic Facilitator;revolutionary Salad;plug-and-play;Seamless parse;84479;Rhode
7;50176;32219;AGP Account Intranet;Kenyan;executive Common;Licensed Officer;payment;64705;non-volatile Dynamic Fish
8;22029;35166;Inverse;Investor Mountains;dynamic;e-services Harbor;Bahamian Managed deposit;60830;benchmark wireless 9(E.U.A.-9)
9;893;30575;Associate Salad;Shirt circuit auxiliary;Cross-platform override;Garden maximized;Pants Fantastic;829;input Associate Designer
10;23186;12049;Mount Car;Representative heuristic;Berkshire Administrator Investor;disintermediate Peso synthesize;transmitter Hat;90462;magenta Outdoors
